,month,co2_flux,Site_temp,Chlorophyll,Sea_Surface_Temp,POC,PIC,PAR,Precipitation,co2_flux_sd,Site_temp_sd,Chlorophyll_sd,Sea_Surface_Temp_sd,POC_sd,PIC_sd,PAR_sd,Precipitation_sd
1,2015 11 15  00:00:00,0.027128274,26.57204286,0.59,30.705,127.4,6.60E-05,43.736375,0.346238938,0.371815403,1.115463984,0.177763888,0.428524601,28.07703688,3.86E-05,12.29511852,1.789115056
2,2015 12 15  00:00:00,-0.048034315,27.13334408,1.551666667,29.59142857,372.1333333,1.92E-05,43.8555,0.129932203,0.243196583,1.11618366,0.884113492,0.930545155,281.0630582,5.02E-06,9.53594099,1.166978667
3,2016 01 15  00:00:00,-0.021287061,27.88607015,1.256153846,30.08058824,199.4923077,4.54E-05,48.40866667,0.04086171,0.29432976,1.117133701,0.698492883,1.034078518,59.61065986,4.25E-05,5.595811156,0.446628018
4,2016 02 15  00:00:00,-0.088169531,27.97829857,1.28,30.14,226.44,0.000124798,48.75304762,0.035911402,0.250178508,1.174215185,0.357491259,0.531751822,32.43590603,0.000233263,10.11567579,0.489876943
5,2016 03 15  00:00:00,-0.018382821,28.72826176,0.881666667,30.545,195.7333333,0.000160164,56.341,0.00361528,0.282799265,0.886415048,0.228585903,0.627152294,55.37464686,0.000267712,1.613155065,0.057275092
6,2016 04 15  00:00:00,0.01419561,28.78901336,0.595,32.11416667,137.05,7.85E-05,55.39431579,0.097269504,0.19008537,1.302779376,0.071414284,0.710882401,14.18861046,6.05E-05,2.864903432,1.319456947
7,2016 05 15  00:00:00,0.016654765,28.12570142,0.355,32.43666667,90.1,2.20E-05,44.03408696,0.304889341,0.270683923,1.556027475,0.091923882,0.49802945,14.8492424,1.41E-05,10.62509702,1.578855337
8,2016 06 15  00:00:00,0.021736731,28.05071882,0.44,32.378,111.6,6.85E-05,42.78483333,0.284915612,0.277936022,1.654235517,0.088317609,1.081004163,24.86925813,5.86E-05,12.80914532,1.799638117
9,2016 07 15  00:00:00,0.017109322,27.46484854,0.51,31.26571429,137.32,0.000158398,46.83041667,0.316808209,0.404218755,1.524365511,0.107004673,0.90719085,23.85439163,0.00018224,10.9823151,1.767912836
10,2016 08 15  00:00:00,0.016644276,27.58859967,0.48,30.56,137,1.40E-05,46.33736364,0.268783967,0.379949373,1.413850635,NA,NA,NA,NA,8.809034678,1.759438589
11,2016 09 15  00:00:00,0.061265213,27.2828555,0.74,30.99,165.4,0.000540995,45.56666667,0.63136776,0.312025412,1.598289608,0.141421356,0.715576691,50.91168825,7.78E-05,15.51474443,2.65282572
12,2016 10 15  00:00:00,0.006328554,27.0250435,0.78,30.008,171,0.001044,41.799,0.444263408,0.507924111,1.335873894,NA,0.561310966,NA,NA,15.13948624,1.812418086
13,2016 11 15  00:00:00,0.072534867,26.5447464,0.634,29.99,155.92,0.0003492,42.5704,0.386769006,0.294207702,1.201736347,0.213611797,0.658483105,31.76306031,0.000346325,12.21646908,1.888277765
14,2016 12 15  00:00:00,-0.055247395,26.72897757,0.625,29.43333333,144.6,0.000267995,37.11953846,0.171059972,0.378345174,1.235706566,0.091923882,0.7537462,41.57787873,0.000347904,13.6958991,0.94081077
15,2017 01 15  00:00:00,-0.051791962,26.41658122,0.772,30.094,171.48,9.64E-05,40.13464,0.191107872,0.312148707,1.273092045,0.089274856,0.366715148,21.05307578,0.00011284,12.58800871,1.088713236
16,2017 02 15  00:00:00,-0.070279575,27.07152215,1.776666667,29.623,260.4,0.0004052,49.21542857,0.100186986,0.337948927,1.202875169,1.678233198,0.677840525,115.4834014,0.000485884,9.165110521,0.881584487
17,2017 03 15  00:00:00,0.002150381,26.96353638,1.188571429,31.33909091,183.8,3.77E-05,51.23790909,0.275158847,0.328019381,1.420300211,0.800008929,0.988356763,54.78131068,5.32E-05,9.260080622,1.763094165
18,2017 04 15  00:00:00,0.007887134,27.18346209,0.49,31.23625,105.9,1.40E-05,49.7271,0.211691023,0.328176687,1.457926961,0.056568542,0.907208237,4.949747468,0,10.27034471,1.446094681
19,2017 05 15  00:00:00,0.014229066,28.20757241,0.6,31.48,140.6666667,4.40E-05,46.86718182,0.240609841,0.258254251,1.276278824,0.103923048,0.487749936,21.28035087,5.20E-05,10.20457469,1.631767942
20,2017 06 15  00:00:00,0.061681628,27.37242548,0.7375,31.308,192.2,1.50E-05,39.21258333,0.027166157,0.328978333,1.768820998,0.362985307,1.365217931,122.9176418,2.00E-06,16.25800748,0.216744282
21,2017 07 15  00:00:00,0.006496872,NA,0.585,31.125,137.5,1.40E-05,43.4435,0.147593097,0.455469332,NA,0.007071068,1.417615369,18.80904038,0,12.59173689,1.187245139
22,2017 08 15  00:00:00,-0.00136149,26.7974746,0.31,30.28,87.4,9.80E-05,40.74930435,0.179316713,0.32226316,1.497892632,NA,1.923330445,NA,NA,12.14179029,1.406865333
23,2017 09 15  00:00:00,-0.007827093,26.38577127,0.41,31.335,101,6.95E-05,46.82304762,0.56455532,0.444906382,1.475439504,0.047609523,1.10792599,9.427619,6.33E-05,13.60802544,2.306041674
24,2017 10 15  00:00:00,0.100469738,26.62922108,0.495,30.425,122.8,0.00025,46.2588,0.177836412,0.240727565,1.128895297,0.190918831,0.459619408,42.70924958,2.83E-06,12.5171526,1.425095213
,,,,,,,,,,0.325607837,,,,,,,